,Program,Classes
0,Aerospace Engineering (BS),"[['CS 1110', 'CS 1111', 'CS 1112', 'CS 1113'], ['CHEM 1410', 'CHEM 1411', 'CHEM 1810', 'CHEM 1811'], [], 'ENGR 1410', 'ENGR 1420', 'STS 2600', 'STS 4500', 'STS 4600', [], 'APMA 2120', ['PHYS 1420', 'PHYS 1425'], [], 'BIOL 2100', 'BIOL 2200', 'CE 2001', 'CHEM 1420', 'EVSC 2800', 'EVSC 3200', 'EVSC 3300', 'MSE 2090', 'PHYS 2620', [], ['PHYS 2410', 'PHYS 2415'], ['PHYS 2040', 'PHYS 2419'], [], 'APMA 2130', 'APMA 3110', 'APMA 3140', 'MAE 2030', 'MAE 2040', 'MAE 2100', ['MAE 2300', 'CE 2300'], 'MAE 2310', 'MAE 2320', 'MAE 2330', 'MAE 3010', 'MAE 3215', 'MAE 3220', 'MAE 3230', 'MAE 3310', 'MAE 3420', 'MAE 3610', 'MAE 3720', 'MAE 3730', 'MAE 3820', 'MAE 4120', ['MAE 4650', 'MAE 4690', 'MAE 4790'], ['MAE 4660', 'MAE 4700', 'MAE 4800']]"
1,African-American and African Studies (BA),"['AAS 1010', 'AAS 1020', 'AAS 4070', 'AAS 4080']"
2,Anthropology (BA),"[['ANTH 1010', 'ANTH 3010', 'ANTH 3020'], 'ANTH 4591', 'ANTH 2280', 'ANTH 4998', 'ANTH 4999']"
3,Applied Statistics (BA),"[[], 'STAT 3080', 'STAT 3120', 'STAT 3220', ['STAT 3110', 'MATH 3100', 'MATH 3350', 'MATH 3351'], ['STAT 3130', 'STAT 4160'], 'STAT 3130', 'STAT 3280', 'STAT 4160', 'STAT 3250', 'STAT 3280', ['STAT 4630', 'STAT 5630'], 'STAT 4220', ['STAT 4170', 'STAT 5170'], 'STAT 4996']"
4,Architecture (BS),"['ARCH 1010', 'ARCH 2010', 'ARCH 2020', 'ARCH 2220', 'ARCH 2710', ['ARCH 3010', 'ARCH 3020', 'ARCH 3120', 'ARCH 3240', 'ARCH 3260', 'ARCH 4010', 'ARCH 4020', 'ARCH 4100'], ['ARCH 3011', 'ARCH 3021', 'ARCH 3120', 'ARCH 4010', 'ARCH 4011', 'ARCH 4020', 'ARCH 4100'], ['ANTH 3700', 'ARCH 2150', 'ARCH 5342', 'CE 3100', 'COMM 4821', 'GDS 3010', 'GDS 3020', 'GDS 3100', 'GDS 3250', 'LAR 5280', 'LAR 5290', 'NUIP 4559', 'PHS 3620', 'PHS 5620', 'PLAN 3860', 'PLAN 5603', 'PLAN 5840', 'PLAN 5870', 'PLAN 5892', 'SARC 3559', 'SARC 5559', 'SARC 5500', 'SOC 3490']]"
5,Area Studies - Latin American Studies (BA),"['LAST 2050', 'LAST 4999']"
6,Art - Art History (BA),"[[], ['ARTH 2052', 'ARTH 2053', 'ARTH 2054', 'ARTH 2055', 'ARTH 2056', 'ARTH 3051', 'ARTH 3061', 'ARTH 3062'], ['ARTH 2151', 'ARTH 2153', 'ARTH 2154', 'ARTH 3151'], [], ['ARTH 2052', 'ARTH 2053', 'ARTH 2054', 'ARTH 2055', 'ARTH 2056', 'ARTH 2891', 'ARTH 2892', 'ARTH 3051', 'ARTH 3062'], ['ARTH 2861', 'ARTH 2862', 'ARTH 2871', 'ARTH 2882', 'ARTH 3651', 'ARTH 3861', 'ARTH 3863'], ['ARTH 2273', 'ARTH 2275', 'ARTH 2745', 'ARTH 2751', 'ARTH 2752', 'ARTH 2753', 'ARTH 2769', 'ARTH 2771', 'ARTH 2772'], ['ARTH 2151', 'ARTH 2470', 'ARTH 2471', 'ARTH 2491', 'ARTH 2851', 'ARTH 2961', 'ARTH 3491', 'ARTH 3494', 'ARTH 4051'], [], 'ARTH 4051', 'ARTH 4591', 'ARTH 4051', 'ARTH 4998', 'ARTH 4999']"
7,Art - Studio Art (BA),"['ARTS 2000', ['ARTH 2451', 'ARTH 2470', 'ARTH 2471', 'ARTH 2472', 'ARTH 2751', 'ARTH 2892', 'ARTH 3545'], ['ARTS 2370', 'ARTS 2372', 'ARTS 3370', 'ARTS 3372', 'ARTS 4370', 'ARTS 4372', 'ARTS 2220', 'ARTS 2222', 'ARTS 3220', 'ARTS 3222', 'ARTS 4220', 'ARTS 4222', 'ARTS 2710', 'ARTS 2712', 'ARTS 3710', 'ARTS 3712', 'ARTS 4710', 'ARTS 4712', 'ARTS 2110', 'ARTS 2112', 'ARTS 3110', 'ARTS 3112', 'ARTS 4110', 'ARTS 4112', 'ARTS 2670', 'ARTS 2672', 'ARTS 3670', 'ARTS 3672', 'ARTS 4670', 'ARTS 4672', 'ARTS 2810', 'ARTS 2812', 'ARTS 3810', 'ARTS 3812', 'ARTS 4810', 'ARTS 4812'], 'ARTS 4450', 'ARTS 4452']"
8,Astronomy (BA),"['ASTR 3130', 'MATH 1310', 'MATH 1320', 'MATH 2310', ['ASTR 1210', 'ASTR 1220', 'ASTR 1210', 'ASTR 1270', 'ASTR 2110', 'ASTR 2120'], ['PHYS 1420', 'PHYS 2410', 'PHYS 1425', 'PHYS 2415'], ['PHYS 1655', 'CS 1110', 'CS 1111', 'CS 1112'], 'ASTR 4998', 'ASTR 3130', 'MATH 1310', 'MATH 1320', 'MATH 2310', ['ASTR 1210', 'ASTR 1220', 'ASTR 1210', 'ASTR 1270', 'ASTR 2110', 'ASTR 2120'], ['PHYS 1420', 'PHYS 2410', 'PHYS 1425', 'PHYS 2415'], ['PHYS 1655', 'CS 1110', 'CS 1111', 'CS 1112']]"
9,Astronomy-Physics (BA),"['ASTR 2110', 'ASTR 2120', 'ASTR 3130', 'ASTR 4998', ['PHYS 1420', 'PHYS 1429', 'PHYS 1425', 'PHYS 2415'], ['PHYS 2410', 'PHYS 2419', 'PHYS 2620', 'PHYS 2720', 'PHYS 3210', 'PHYS 3310', 'PHYS 3420', 'PHYS 3430', 'PHYS 3650'], 'MATH 1320', 'MATH 2310', 'MATH 3250', 'MATH 4220', [], 'ASTR 4998']"
